Tag,Sum,Frequency,Sum Rank,Frequency Rank
wet,18,8,8600,4998
songs that make me laugh,27,8,6222,4998
upbeat lyrics,24,8,6905,4998
top 25,34,8,5230,4998
SSX On Tour soundtrack,19,8,8299,4998
chuck and blair,44,8,4274,4998
love lost,39,8,4665,4998
so cool,23,8,7136,4998
impulsive,17,8,9199,4998
dreaming awake,46,8,4127,4998
Head Groovage,21,8,7589,4998
Top Classics,14,8,10718,4998
solo piano,54,8,3657,4998
extraordinary,33,8,5322,4998
listened to over and over,24,8,6905,4998
Fever,27,8,6222,4998
be-my-baby drum,46,8,4127,4998
plus,29,8,5913,4998
Orgasmic Classic Rock,14,8,10718,4998
great guitar riffs,22,8,7351,4998
panic! at the disco,101,8,2271,4998
stockholm,33,8,5322,4998
gagalicious,23,8,7136,4998
fucking great song,18,8,8600,4998
elton john,321,8,962,4998
b-side,25,8,6670,4998
traditional,31,8,5591,4998
-chill-trip-lounge-down-,18,8,8600,4998
Tears for Fears,89,8,2512,4998
Post-Black Metal,220,8,1247,4998
bestOf2009,15,8,10249,4998
ending,20,8,7964,4998
Christmas Music,32,8,5457,4998
x-mas,22,8,7351,4998
Pink Floyd Radio,15,8,10249,4998
lyric rock,20,8,7964,4998
glassnote,48,8,4007,4998
Sophisti-Pop,119,8,2012,4998
Punch me in the dead spot again,29,8,5913,4998
ePop,29,8,5913,4998
why didnt you play this song at my funeral like i asked you to,48,8,4007,4998
triumphant,24,8,6905,4998
2017 single,105,8,2207,4998
february,29,8,5913,4998
never gets old,15,8,10249,4998
MORE,32,8,5457,4998
this song fucking kills me,19,8,8299,4998
i love when i listen a7x,27,8,6222,4998
to buy,25,8,6670,4998
teenage dream,52,8,3769,4998
Favorite Music,17,8,9199,4998
Arcade Fire - The Suburbs,26,8,6393,4998
gr last,70,8,3016,4998
death songs,22,8,7351,4998
loves,31,8,5591,4998
whalecore,178,8,1474,4998
hermoso,23,8,7136,4998
american hip-hop,30,8,5751,4998
industrial hip-hop,151,8,1662,4998
Hi-NRG,24,8,6905,4998
CD,23,8,7136,4998
senior year memories 11-12,35,8,5064,4998
addictive song,31,8,5591,4998
hott,19,8,8299,4998
wcs,36,8,4970,4998
airplane sounds,63,8,3257,4998
the louder the better,25,8,6670,4998
bob marley and the wailers,21,8,7589,4998
TOTAL FUCKING WIN,50,8,3900,4998
Hybrid,34,8,5230,4998
beach music,19,8,8299,4998
identity,22,8,7351,4998
mpsvd-luisterpaal-j,93,8,2436,4998
Its Britney Bitch,35,8,5064,4998
diamond eyes,76,8,2828,4998
What the Armies of Satan listen to as they impale babies,16,8,9642,4998
cirkut,30,8,5751,4998
i lust,77,8,2806,4998
group of people who are,14,8,10718,4998
soundtrack to my theoretical descent into alcoholism,33,8,5322,4998
deathmetal,21,8,7589,4998
title is imperative,73,8,2925,4998
weekend,29,8,5913,4998
Appetite For Destruction,22,8,7351,4998
pharrell williams,66,8,3146,4998
Music to download,15,8,10249,4998
comeback,51,8,3818,4998
2ndlaw,67,8,3116,4998
Alt Rock Britpop,22,8,7351,4998
lowlands 2008,22,8,7351,4998
later,49,8,3953,4998
sweetness,34,8,5230,4998
dawsons creek,17,8,9199,4998
seaside,31,8,5591,4998
Fabulous,23,8,7136,4998
Greatest tracks ever,20,7,7964,5587
the good,20,7,7964,5587
so fucking true,30,7,5751,5587
Jeff Hannemann,15,7,10249,5587
Killing Riff,17,7,9199,5587
triphopgdchill,12,7,12260,5587
bartfavs,14,7,10718,5587
battle metal,34,7,5230,5587
kkk,16,7,9642,5587
Schlager,35,7,5064,5587
all time fav,20,7,7964,5587
silence,40,7,4580,5587
club-dance rock,50,7,3900,5587
electrease,15,7,10249,5587
perfect drug,45,7,4200,5587
back flight,33,7,5322,5587
best tracks of 2010,23,7,7136,5587
thinking of you,32,7,5457,5587
2008 favorites,19,7,8299,5587
feat,31,7,5591,5587
Boogie Rock,18,7,8600,5587
Twilight soundtrack,64,7,3212,5587
death-thrash metal,15,7,10249,5587
my hatred of this is so thick and rich that you could drizzle it over pancakes,119,7,2012,5587
dance tunez,26,7,6393,5587
listen to these when its dark and youre in a kind of a psychedelic mood,30,7,5751,5587
driving in my car,22,7,7351,5587
sounds like a woman driving a vehicle with a manual transmission,119,7,2012,5587
imagine,42,7,4413,5587
michael buble,198,7,1351,5587
songs to sleep to,16,7,9642,5587
And I hate that my feet are dancing so much,34,7,5230,5587
Searching,12,7,12260,5587
singable,16,7,9642,5587
laidback,18,7,8600,5587
premium4265,20,7,7964,5587
Decaydance,29,7,5913,5587
fob,48,7,4007,5587
Straight Edge,38,7,4765,5587
drunken anthem,46,7,4127,5587
something lovely,18,7,8600,5587
my chem,17,7,9199,5587
dirtyfake,16,7,9642,5587
DrumNBass,24,7,6905,5587
justin bieber,297,7,1012,5587
Beach Boys,87,7,2551,5587
good rap,18,7,8600,5587
4stars,30,7,5751,5587
heartbeats,22,7,7351,5587
whoa,45,7,4200,5587
gotye,121,7,1990,5587
astronomy,16,7,9642,5587
aw,22,7,7351,5587
rock-n-roll,11,7,12918,5587
Preferidas,16,7,9642,5587
top100,21,7,7589,5587
Homework,18,7,8600,5587
z,26,7,6393,5587
nick mason,12,7,12260,5587
swagger,26,7,6393,5587
colour,36,7,4970,5587
50's,19,7,8299,5587
cruel intentions,53,7,3706,5587
encouraging,18,7,8600,5587
neo-psychedelic,31,7,5591,5587
Metric,95,7,2398,5587
dead heart,13,7,11433,5587
Italy,22,7,7351,5587
hip-hop and rap,21,7,7589,5587
luv,16,7,9642,5587
melodic hard rock,19,7,8299,5587
psych rock,14,7,10718,5587
post disco,14,7,10718,5587
boom bap,17,7,9199,5587
knopfler,19,7,8299,5587
autofahren,30,7,5751,5587
blaengar,24,7,6905,5587
perfect lyrics,27,7,6222,5587
Girl Groups,31,7,5591,5587
favorite bjork songs,18,7,8600,5587
interested,44,7,4274,5587
great intros,15,7,10249,5587
naughty,24,7,6905,5587
the-gifts-that-you-gave-me,54,7,3657,5587
easy going,21,7,7589,5587
burning red hot,28,7,6062,5587
portalternativo,13,7,11433,5587
good vocal,27,7,6222,5587
no matter where i am I MUST SING ALONG,52,7,3769,5587
asskicking,17,7,9199,5587
hh,15,7,10249,5587
2010s hip-hop,31,7,5591,5587
tired,26,7,6393,5587
real hip hop,18,7,8600,5587
seen them live,20,7,7964,5587
every name has a story,46,7,4127,5587
alternative song charted in the 2010s,25,7,6670,5587
spectacular,39,7,4665,5587
party in my ears,22,7,7351,5587
sasquatch 2011,24,7,6905,5587
experimental techno,25,7,6670,5587
and in that moment i swear we were infinite,47,7,4073,5587
braindance,19,7,8299,5587
addicted to this song,32,7,5457,5587
crazy delicious,20,7,7964,5587
Monday,17,7,9199,5587
Feelgood tracks,13,7,11433,5587
expressive,18,7,8600,5587
Delena,53,7,3706,5587
b side,31,7,5591,5587
Tribute,58,7,3482,5587
The D,29,7,5913,5587
TVD,47,7,4073,5587
electronica roots,23,7,7136,5587
NU,13,7,11433,5587
andy warhol,21,7,7589,5587
leapspandora,28,7,6062,5587
songs you must hear before you die,25,7,6670,5587
TMO,15,7,10249,5587
2013 singles,38,7,4765,5587
old nightwish,15,7,10249,5587
nebbia,31,7,5591,5587
midwest rap,13,7,11433,5587
pinky,62,7,3298,5587
famous,21,7,7589,5587
Black Album,15,7,10249,5587
traditional doom,17,7,9199,5587
BillyBoy,12,7,12260,5587
summer tune,84,7,2620,5587
hot shit,28,7,6062,5587
video game music,18,7,8600,5587
Big Band,39,7,4665,5587
Seelenfutter,29,7,5913,5587
singing along loud and proud,33,7,5322,5587
hilary duff,41,7,4492,5587
stoner doom metal,80,7,2725,5587
melt,32,7,5457,5587
teenage love between the sheets,28,7,6062,5587
songs i never get tired of listening to,24,7,6905,5587
szwecja,12,7,12260,5587
i am sad and this is what i need right now,18,7,8600,5587
romantic collection,13,7,11433,5587
Eu batendo com meu pau num xilofone seria melhor,78,7,2782,5587
When we were young,34,7,5230,5587
ipod20120225,57,7,3517,5587
Fett,14,7,10718,5587
herzeleid,16,7,9642,5587
abstract hip hop,25,7,6670,5587
Third,21,7,7589,5587
boyband,53,7,3706,5587
Rough Trade,48,7,4007,5587
liver and onions,24,7,6905,5587
transliteracy,16,7,9642,5587
RedRage Classics,24,7,6905,5587
laz,28,7,6062,5587
massive walls of emotions,24,7,6905,5587
alternative indie,35,7,5064,5587
Snoop Dogg,112,7,2100,5587
nordic metal,13,7,11433,5587
True Hip Hop,17,7,9199,5587
Lieblingssongs,32,7,5457,5587
gute Stimme,32,7,5457,5587
nina simone,161,7,1592,5587
NEVER let you down now,37,7,4867,5587
tonight,77,7,2806,5587
the best eclectic tag ever - period - dec-05 top-30s,15,7,10249,5587
driving song,22,7,7351,5587
melhor de 2013,38,7,4765,5587
lord of the rings,107,7,2175,5587
ouch,14,7,10718,5587
twinkling starry skies,23,7,7136,5587
good one,19,7,8299,5587
ambient trance,26,7,6393,5587
K-DST,24,7,6905,5587
rockon,30,7,5751,5587
70s soul,12,7,12260,5587
see the world,24,7,6905,5587
thrill,10,7,14250,5587
hunter,26,7,6393,5587
s2,31,7,5591,5587
jazzysrnbpop,11,7,12918,5587
based,52,7,3769,5587
lyrics i love,19,7,8299,5587
favorite songs of all time to play on repeat over and over again,26,7,6393,5587
television,31,7,5591,5587
Brian Eno,42,7,4413,5587
billboard top 20,18,7,8600,5587
bands that are too great for my friends to understand,22,7,7351,5587
shady records,15,7,10249,5587
feeling good,32,7,5457,5587
middle,66,7,3146,5587
happy rock,14,7,10718,5587
beautiful piano,53,7,3706,5587
teenage,20,7,7964,5587
Summer Time,17,7,9199,5587
music to cry with,13,7,11433,5587
hyperactive,13,7,11433,5587
bluesrock,13,7,11433,5587
Marie Antoinette Soundtrack,48,7,4007,5587
bop,46,7,4127,5587
otp,34,7,5230,5587
close your eyes and smile,24,7,6905,5587
Control,15,7,10249,5587
this weeks thrill,26,7,6393,5587
rex brown,16,7,9642,5587
fucking cool,18,7,8600,5587
Donnie Darko,158,7,1615,5587
master of puppets,41,7,4492,5587
purchased,21,7,7589,5587
Loved Songs,17,7,9199,5587
Colorado,22,7,7351,5587
energia,17,7,9199,5587
kills nu-metal ten times over,16,7,9642,5587
Tears For Music,32,7,5457,5587
Pure American Metal,47,7,4073,5587
bland,42,7,4413,5587
dense,30,7,5751,5587
kool,23,7,7136,5587
big,41,7,4492,5587
great solos,22,7,7351,5587
XYZ,13,7,11433,5587
road trip music,36,7,4970,5587
top dawg entertainment,88,7,2525,5587
iii,27,7,6222,5587
positive vibration,38,7,4765,5587
avant rock,20,7,7964,5587
just breathe,55,7,3608,5587
glorious british accent,15,7,10249,5587
dog,19,7,8299,5587
haha,18,7,8600,5587
blaze to this one,36,7,4970,5587
1959,14,7,10718,5587
choon,24,7,6905,5587
rock star,13,7,11433,5587
electro-indie,30,7,5751,5587
break,26,7,6393,5587
swingtown,25,7,6670,5587
makes you want to dance,29,7,5913,5587
deathfuck,12,7,12260,5587
us-singer,53,7,3706,5587
Chad Kroeger,15,7,10249,5587
Steunfonds,55,7,3608,5587
balkan folk,32,7,5457,5587
discover,14,7,10718,5587
90,14,7,10718,5587
meaty beaty big and bouncy,11,7,12918,5587
tanzen,22,7,7351,5587
Judas Priest,135,7,1817,5587
tempo,9,7,15385,5587
awesomenessss,21,7,7589,5587
colorfull,15,7,10249,5587
Great tracks,11,7,12918,5587
dance central,17,7,9199,5587
captain crunch,35,7,5064,5587
swoon,21,7,7589,5587
piebald composers,25,7,6670,5587
kesha,216,7,1266,5587
Over 10 minutes,15,7,10249,5587
songs about cities,31,7,5591,5587
Metal rock,13,7,11433,5587
songs that give me chills,21,7,7589,5587
xylophone,24,7,6905,5587
what a voice,28,7,6062,5587
workout songs,14,7,10718,5587
death magnetic,117,7,2039,5587
leapsandsotd,20,7,7964,5587
arctic,12,7,12260,5587
deserves to be played loud,24,7,6905,5587
daydreaming,86,7,2567,5587
Beastie Boys,161,7,1592,5587
songs about death,24,7,6905,5587
ambient electronic,37,7,4867,5587
Music to have sex to,17,7,9199,5587
indietronics,31,7,5591,5587
long track,13,7,11433,5587
Oi,28,7,6062,5587
liberty rock radio,12,7,12260,5587
jammin,17,7,9199,5587
musicspirit,13,7,11433,5587
Cm,41,7,4492,5587
Anna Nicole Smith,39,7,4665,5587
Flo Rida,198,7,1351,5587
master of reality,17,7,9199,5587
mj-lazzzy loungin,24,7,6905,5587
cadenza thump,25,7,6670,5587
drum solo,80,7,2725,5587
The 80s was not a dead decade,31,7,5591,5587
i love this more than i love you,56,7,3565,5587
pamela anderson,49,7,3953,5587
life is strange,118,7,2025,5587
Wish You Were Here,37,7,4867,5587
mainstream rock,16,7,9642,5587
Setlist-Kattowitz-27-11-2009,17,7,9199,5587
mastertrack,13,7,11433,5587
waking up,21,7,7589,5587
fucksshzAAAfghh yeah,22,7,7351,5587
jay-z,122,7,1979,5587
ccm,19,7,8299,5587
maschi,17,7,9199,5587
Punky,12,7,12260,5587
Duck Dich WolkeWolke,102,7,2254,5587
ours,24,7,6905,5587
Tennessee,22,7,7351,5587
them crooked vultures,160,7,1600,5587
Grime,29,7,5913,5587
Mylo Xyloto,47,7,4073,5587
songs that make me shiver,56,7,3565,5587
DeepSleeP,17,7,9199,5587
speaks to my soul,57,7,3517,5587
ff,13,7,11433,5587
complex,13,7,11433,5587
sum,13,7,11433,5587
sangrar,57,7,3517,5587
southern rap,31,7,5591,5587
under a minute,18,7,8600,5587
love spirals downwards,33,7,5322,5587
favorite by this singer,13,7,11433,5587
Cream,129,7,1888,5587
tags,13,7,11433,5587
bastille,215,7,1272,5587
bass solo,17,7,9199,5587
untalented,71,7,2988,5587
SCHEISSE,53,7,3706,5587
krautcold,14,7,10718,5587
Roaming the Globe,46,7,4127,5587
rock out in your cube,17,7,9199,5587
one of the best ever,34,7,5230,5587
breaks my heart,35,7,5064,5587
old school hip-hop,17,7,9199,5587
Christina Aguilera,231,7,1209,5587
My Rock,15,7,10249,5587
macefitness,24,7,6905,5587
tv theme,36,7,4970,5587
sharv11,78,7,2782,5587
Psycho Metal Tag Radio,10,7,14250,5587
perfect voice,44,7,4274,5587
Hammer,15,7,10249,5587
songs to listen while looking at an empty white wall,20,7,7964,5587
female metal,15,7,10249,5587
bands that help me stay alive,23,7,7136,5587
jump-up,30,7,5751,5587
Epicness,26,7,6393,5587
absolute gods,11,7,12918,5587
talking heads,59,7,3449,5587
royskopp,19,7,8299,5587
GRRR,13,7,11433,5587
describes me,34,7,5230,5587
nah,34,7,5230,5587
himym,25,7,6670,5587
wdw 500,20,7,7964,5587
depressive black metal,20,7,7964,5587
best of chill,22,7,7351,5587
acoustic groove,38,7,4765,5587
alternative lounge,40,7,4580,5587
fistKranKping,15,7,10249,5587
1 of 10 stars,16,7,9642,5587
linedance 2014,44,7,4274,5587
tropcool,41,7,4492,5587
Evil Twin,17,7,9199,5587
Discoverockult,13,7,11433,5587
cant stop listening,28,7,6062,5587
to listen to while having sex,17,7,9199,5587
gitarre,15,7,10249,5587
chill4265,33,7,5322,5587
fav0urit3,15,7,10249,5587
Vivo con tutto il mio cuore,43,7,4334,5587
flora coquerel,47,7,4073,5587
ava lauren,47,7,4073,5587
sarcastic,17,7,9199,5587
the best of 2008,13,7,11433,5587
emperorcryn,24,7,6905,5587
best songs of 2013,72,7,2956,5587
use of ambient synths,11,7,12918,5587
MadOdiousSpoiltToxicRichOdd,38,7,4765,5587
song noir,14,7,10718,5587
aggressive depression,13,7,11433,5587
end all the pain,14,7,10718,5587
songs for love,23,7,7136,5587
Protopunk,17,7,9199,5587
Koi No Yokan,125,7,1942,5587
storm,18,7,8600,5587
urgent,15,7,10249,5587
d n b,14,7,10718,5587
bring me the horizon,61,7,3347,5587
mountain,14,7,10718,5587
crash,26,7,6393,5587
lucifer,42,7,4413,5587
life and death,64,7,3212,5587
low-fi,15,7,10249,5587
can't help but dance,26,7,6393,5587
NC 25,55,7,3608,5587
I would play this stuff while driving if I had a car,26,7,6393,5587
incomparable,15,7,10249,5587
elliott,40,7,4580,5587
melodic viking metal,20,7,7964,5587
elliott smith,179,7,1461,5587
daphne rosen,49,7,3953,5587
salsa,36,7,4970,5587
Dance whenever you feel like it,17,7,9199,5587
Really like,29,7,5913,5587
faith,21,7,7589,5587
i wish they played this stuff in nightclubs,32,7,5457,5587
Animal Collective,58,7,3482,5587
exotic,29,7,5913,5587
blitz playlist,14,7,10718,5587
ace,15,7,10249,5587
pxs friends: loved,137,7,1803,5587
Hard Rock - Heavy Metal,17,7,9199,5587
gr ar,55,7,3608,5587
bands,14,7,10718,5587
songs die so gut sind das ich meiner oma ihr klein haeuschen zwar nicht verkaufen aber zumindest dafuer beleihen wuerde,19,7,8299,5587
swiss,22,7,7351,5587
I thought of you,35,7,5064,5587
Entourage,14,7,10718,5587
great song titles,24,7,6905,5587
sing-a-long,13,7,11433,5587
Reckless,17,7,9199,5587
color song,29,7,5913,5587
Lily Allen,236,7,1188,5587
hot for 2009,19,7,8299,5587
Joyous,20,7,7964,5587
just dance,54,7,3657,5587
city lounge,39,7,4665,5587
serve chilled,39,7,4665,5587
makes me feel sexy,29,7,5913,5587
choreography,18,7,8600,5587
maximum,22,7,7351,5587
best tracks of 2014,155,7,1635,5587
january,27,7,6222,5587
hot and steamy sex,13,7,11433,5587
jesus etc,54,7,3657,5587
dylanesque,86,7,2567,5587
modal jazz,37,7,4867,5587
crushing,27,7,6222,5587
john fogerty,14,7,10718,5587
in with the new,35,7,5064,5587
epica,12,7,12260,5587
alternativa,18,7,8600,5587
mind-blowing shit,30,7,5751,5587
goa,26,7,6393,5587
Best song on the album,27,7,6222,5587
gypsy folk,73,7,2925,5587
MonochromeNight-loved,17,7,9199,5587
London Calling,19,7,8299,5587
top 500 Essential songs,15,7,10249,5587
underwear dancing music,16,7,9642,5587
Leeds 2010,38,7,4765,5587
herz-3,59,7,3449,5587
the subtle use of a horn section,15,7,10249,5587
best tracks of 2013,32,7,5457,5587
Frank Black,22,7,7351,5587
mercury guava lapis lazuli,35,7,5064,5587
mexico,17,7,9199,5587
simply beautiful,25,7,6670,5587
My Heart,26,7,6393,5587
sexy time,30,7,5751,5587
nodexl,31,7,5591,5587
qwerty101-loved piano,14,7,10718,5587
our song,23,7,7136,5587
Songs for the Middle of the Night,32,7,5457,5587
painting,13,7,11433,5587
punky indie rock,12,7,12260,5587
fiddle,21,7,7589,5587
ihr koennt ruhig tanzen - das tut nicht weh,15,7,10249,5587
lulz,15,7,10249,5587
Make you happy,11,7,12918,5587
hero,25,7,6670,5587
girlsband,47,7,4073,5587
loved2015,25,7,6670,5587
jazzysfemalejazz,16,7,9642,5587
Joe Strummer,15,7,10249,5587
Slut pop,46,7,4127,5587
stone,13,7,11433,5587
suitable soundtrack for giant robot warfare,16,7,9642,5587
live seen,16,7,9642,5587
name song,42,7,4413,5587
richard wright,13,7,11433,5587
snapping,37,7,4867,5587
moja nostalgia,42,7,4413,5587
Eagles of Death Metal,24,7,6905,5587
Noel Gallagher,11,7,12918,5587
1970's,10,7,14250,5587
Chillout Downtempo,25,7,6670,5587
aitchrap,44,7,4274,5587
rockit,12,7,12260,5587
velvets,17,7,9199,5587
epic song is epic,85,7,2597,5587
90s dance,24,7,6905,5587
political melodic punk,23,7,7136,5587
makes me jumping in my room,30,7,5751,5587
they play this in the queue for heaven,33,7,5322,5587
present participle,16,7,9642,5587
pulp fiction,145,7,1711,5587
5-STARS,12,7,12260,5587
partay,13,7,11433,5587
alternative soul,46,7,4127,5587
So Awesome,19,7,8299,5587
great memories,60,7,3388,5587
attention whore,62,7,3298,5587
Gothic Doom Metal,31,7,5591,5587
Snow Patrol,304,7,993,5587
the kinks,102,7,2254,5587
depressive metal,34,7,5230,5587
Greatest Songs,16,7,9642,5587
VAGINA,24,7,6905,5587
hair band,15,7,10249,5587
glitchy,34,7,5230,5587
P!nk,236,7,1188,5587
eurodisco,26,7,6393,5587
Avant Pop,38,7,4765,5587
Kitsune,30,7,5751,5587
minha musica,27,7,6222,5587
synth indie rock,30,7,5751,5587
songs that save my life,24,7,6905,5587
songs that make me think about my friends,22,7,7351,5587
sunshine songs,19,7,8299,5587
pheromones 10s,33,7,5322,5587
pure awesomeness,17,7,9199,5587
just perfect,19,7,8299,5587
shite,59,7,3449,5587
Paul,12,7,12260,5587
Barney Stinson Get Psyched mix,21,7,7589,5587
fuzzy guitar goodness,22,7,7351,5587
NOT METAL,37,7,4867,5587
aa,12,7,12260,5587
Waters,10,7,14250,5587
 male vocalists,68,7,3069,5587
goddess,30,7,5751,5587
oldskool jungle,36,7,4970,5587
Papa Roach,285,7,1040,5587
heart-wrenching,26,7,6393,5587
deadmau5,137,7,1803,5587
lap dance,49,7,3953,5587
I was listening to this artist waaaaay before you because I try out new music BEFORE its hyped by the media,16,7,9642,5587
Cat Power,121,7,1990,5587
q3,13,7,11433,5587
cat,15,7,10249,5587
i love singing along,21,7,7589,5587
dumb,51,7,3818,5587
sorry,18,7,8600,5587
folksy,19,7,8299,5587
breakfast,17,7,9199,5587
number song,29,7,5913,5587
indie brit pop rock,15,7,10249,5587
McCartney,19,7,8299,5587
forever-andree,12,7,12260,5587
clever,16,7,9642,5587
purity ring,89,7,2512,5587
night club dance,23,7,7136,5587
Wes Anderson,41,7,4492,5587
halifax,50,7,3900,5587
420,28,7,6062,5587
a gravelly male vocalist,11,7,12918,5587
lonely night,27,7,6222,5587
reminds me of,13,7,11433,5587
nice start,24,7,6905,5587
brom,32,7,5457,5587
amo este tema,22,7,7351,5587
want,14,7,10718,5587
atmospheric pop,44,7,4274,5587
lindsey buckingham,20,7,7964,5587
Rock Favs,18,7,8600,5587
alex,25,7,6670,5587
cosmotracks,20,7,7964,5587
skapunk,13,7,11433,5587
da,29,7,5913,5587
Buckley,32,7,5457,5587
gothic symphonic metal,24,7,6905,5587
limp,15,7,10249,5587
advert,18,7,8600,5587
powerful lyrics,24,7,6905,5587
Cool guitar,11,7,12918,5587
carina,36,7,4970,5587
fuck me up,24,7,6905,5587
new moon,26,7,6393,5587
it is party time,31,7,5591,5587
Nintendocore,29,7,5913,5587
Tense,16,7,9642,5587
confusing,14,7,10718,5587
leonard cohen,343,7,909,5587
retrospective,16,7,9642,5587
Klassik,27,7,6222,5587
best songs of the 70s,13,7,11433,5587
long songs,36,7,4970,5587
ethnic electronica,39,7,4665,5587
Metall,21,7,7589,5587
party collection,22,7,7351,5587
Martin Gore,19,7,8299,5587
a subtle use of paired vocal harmony,16,7,9642,5587
radio xenu,31,6,5591,6403
wait and see,16,6,9642,6403
Brilliant Tracks,16,6,9642,6403
Hell ya,11,6,12918,6403
summer 06,12,6,12260,6403
creation,17,6,9199,6403
tracks,16,6,9642,6403
pretty little liars,56,6,3565,6403
wicked love,18,6,8600,6403
speaking in tongues,8,6,17014,6403
lucipro,8,6,17014,6403
slgdmbllds,11,6,12918,6403
jeff mangum,22,6,7351,6403
songs to download,17,6,9199,6403
file under: best songs ever,42,6,4413,6403
basstastic,13,6,11433,6403
jazz-rock,55,6,3608,6403
bands i've seen live,13,6,11433,6403
wadilistento,19,6,8299,6403
the nostalgia factory,13,6,11433,6403
love at the first listen,71,6,2988,6403
tv soundtrack,28,6,6062,6403
Let It Be,25,6,6670,6403
Impact 2012,18,6,8600,6403
Tuomas Holopainen,11,6,12918,6403
human,35,6,5064,6403
good hiphop,20,6,7964,6403
corey,13,6,11433,6403
hatred,19,6,8299,6403
top metal songs,12,6,12260,6403
crunk metal,16,6,9642,6403
js,11,6,12918,6403
molove,18,6,8600,6403
aces,16,6,9642,6403
Gap,15,6,10249,6403
HIM,66,6,3146,6403
Songs From My Childhood,10,6,14250,6403
start dancing,12,6,12260,6403
70s revival,14,6,10718,6403
Jeff Buckley is his own category,28,6,6062,6403
Status - Banned,77,6,2806,6403
and now slowly open your eyes,19,6,8299,6403
1961,30,6,5751,6403
i keep singing it along any time i hear this so my neighbours hate me pretty much and call me an impudent twat,12,6,12260,6403
sex pistols,60,6,3388,6403
best songs of 2011,51,6,3818,6403
House Pop,32,6,5457,6403
2012 singles,34,6,5230,6403
The Good Ole Metal Days,12,6,12260,6403
Songs to sing at the top of my lungs,20,6,7964,6403
macenight,48,6,4007,6403
soul pop,16,6,9642,6403
i miss you like hell,34,6,5230,6403
shoegazing goodness,16,6,9642,6403
advice,25,6,6670,6403
sing it,18,6,8600,6403
tops,15,6,10249,6403
PL,13,6,11433,6403
hardcore hip-hop,20,6,7964,6403
melodic universe,29,6,5913,6403
Cat Porter,18,6,8600,6403
No Doubt,147,6,1696,6403
fucked up music by fucked up people,19,6,8299,6403
meaningful lyrics,23,6,7136,6403
tumblr,27,6,6222,6403
my other fav,32,6,5457,6403
females,13,6,11433,6403
children of the korn,12,6,12260,6403
pure love,32,6,5457,6403
hardzone,30,6,5751,6403
makes the cool kids move,21,6,7589,6403
great bass line,14,6,10718,6403
sex in the ear,19,6,8299,6403
about love,15,6,10249,6403
life sucks,14,6,10718,6403
music about music,17,6,9199,6403
in love with cr4ke,13,6,11433,6403
Hanging Out,13,6,11433,6403
heartbreaker,23,6,7136,6403
Metal Blade Records,12,6,12260,6403
awesome video,19,6,8299,6403
Songs for sad moods,12,6,12260,6403
makes me feel good,18,6,8600,6403
jazz blues,17,6,9199,6403
decent,39,6,4665,6403
simon,16,6,9642,6403
british soul,16,6,9642,6403
TNPHP Karaoke,12,6,12260,6403
a slow moving bass line,8,6,17014,6403
July,25,6,6670,6403
work music,18,6,8600,6403
velvet,15,6,10249,6403
gloom,14,6,10718,6403
more than physical attraction,70,6,3016,6403
city walking,54,6,3657,6403
interweaving vocal harmony,13,6,11433,6403
songs from under the floorboards,15,6,10249,6403
vices i admire,38,6,4765,6403
neo-metal,13,6,11433,6403
alltime fave songs,14,6,10718,6403
cooler that cool,59,6,3449,6403
deftfavourite,31,6,5591,6403
songs that turn me on,18,6,8600,6403
-5,13,6,11433,6403
R＄E＄M,13,6,11433,6403
Rolling,9,6,15385,6403
two,21,6,7589,6403
raga rock,31,6,5591,6403
the ramones,17,6,9199,6403
australie,31,6,5591,6403
rolling stones 500 greatest songs,12,6,12260,6403
sappy,17,6,9199,6403
Miles,16,6,9642,6403
Version,11,6,12918,6403
current favourites,14,6,10718,6403
cracow,15,6,10249,6403
kim deal,26,6,6393,6403
amanda seyfried,26,6,6393,6403
wortkarg,48,6,4007,6403
sugar,34,6,5230,6403
Rush,133,6,1839,6403
synthgaze,38,6,4765,6403
Up the irons,13,6,11433,6403
amazing guitar,24,6,6905,6403
sad but beautiful,22,6,7351,6403
Vocal Music,17,6,9199,6403
Greatest Songs Of All Time,18,6,8600,6403
disintegration,22,6,7351,6403
Scandinavian Pop,10,6,14250,6403
Empire of the Sun,71,6,2988,6403
slow build,18,6,8600,6403
blue songs,16,6,9642,6403
2012 pop,25,6,6670,6403
elliotd favs,25,6,6670,6403
norah jones,268,6,1085,6403
Mars,14,6,10718,6403
zombies,24,6,6905,6403
Creed,173,6,1505,6403
the beat that my heart skipped sounded like this,25,6,6670,6403
favourite beatles songs,15,6,10249,6403
cranberries,70,6,3016,6403
zombie,36,6,4970,6403
The Cranberries,151,6,1662,6403
drinking in the dark,14,6,10718,6403
doctor who,15,6,10249,6403
sic,14,6,10718,6403
raw emotion,24,6,6905,6403
away,10,6,14250,6403
jazz trumpet,14,6,10718,6403
tree rock,31,6,5591,6403
reasons to get up in the morning,14,6,10718,6403
greatest song ever,12,6,12260,6403
marvin gaye,93,6,2436,6403
Discovered,20,6,7964,6403
can play on guitar,12,6,12260,6403
love the bassline,20,6,7964,6403
best of 2017,124,6,1953,6403
after work,37,6,4867,6403
the bones of what you believe,41,6,4492,6403
heavy ballad,14,6,10718,6403
Metal Industriel,10,6,14250,6403
